OSM_ID,Latitude,Longitude,Name,Transit,Finance,Education,Retail,Civic,Healthcare,Food_Place,Government,Parking_Lot,PSGC,UrbanRural_2020CPH,Population_2020,Name_upper,Amenity_Sum,Urbanicity_Score,Urbanicity_Quantile,Cluster
9758588839,14.8688844,120.8014195,JBX Pharmacy,2,16,6,0,4,4,46,0,3,301410025.0,U,16999.0,JBX PHARMACY,81,0.0548780487804878,Mixed,0
1148367423,14.1813172,121.284579,Mercogene Pharmacy & Gen. Mdse.,1,4,1,0,1,1,11,0,0,403402017.0,R,1356.0,MERCOGENE PHARMACY & GEN. MDSE.,19,0.0128726287262872,Very Rural,1
1137631245,14.6196358,121.0168239,Botika ng Bayan,6,138,17,3,29,25,291,0,17,1381300047.0,U,4786.0,BOTIKA NG BAYAN,526,0.3563685636856368,Very Urban,2
9458409131,14.6672587,121.0076376,Generika Drugstore,3,44,12,1,18,14,150,0,11,1381300005.0,U,55328.0,GENERIKA DRUGSTORE,253,0.1714092140921409,Urban,3
